1711|Un notaio|"Der Rosenkavalier"
8993|Sun Paizhang|"Il ragazzo del risciò" al Teatro Regio di Torino
6947|Hobson|"Peter Grimes"
1030|Il vecchio prigioniero|"Da una casa di morti"
2919|Anna|-
6193|Rodrigo, marchese di Posa|Un "Don Carlo" in gran spolvero per “compleanno”
9072|Sir Gualtiero Raleigh|“Roberto Devereux”
9875|Leopold|"Der Rosenkavalier"
9861|La signorina Lepre|"Pollicino"
2774|Poesia, Amore|"Il novello Giasone"
7320|Angelina|-
7578|Maria|"Wunderzaichen" di Mark Andre in prima assoluta
8072|La principessa di Bouillon|"Adriana Lecouvreur"
462|Vitek|"L'Affare Makropulos"
1907|Ortlinde|"Die Walküre"
6761|Oloferno Vitellozzo|"Lucrezia Borgia"
5862|Un araldo|"Otello"
1475|Il Conte Rodolfo|"La Sonnambula"
2115|The Polish Mother|"Death in Venice" (Morte a Venezia)
7551|Gianni Schicchi|"Eine florentinische tragödie/Gianni Schicchi"
8966|Messaggero|“Aida”
6527|Maddalena|"Ola" per Rigoletto
8034|Mamma Luca|"Cavalleria rusticana"
842|Waltraute|"Götterdämmerung"
5434|Il Gran sacerdote di Belo|"Nabucco"
2736|Sir Hervey|"Anna Bolena"
6346|Marchese d’Obigny|"La Traviata"
731|Remendado|Ritorniamo
1685|Marzelline|"Fidelio" riapre Palacio de Bellas Artes
4649|Micaëla|”Carmen”
2155|La Gioconda|"La Gioconda"
9412|Mann|"Götterdämmerung"
5524|Carlo di Moor|-
6207|Filippo II|“Don Carlo”
8518|La Nutrice|"L'incoronazione di Poppea"
3744|Don Bartolo|"Le nozze di Figaro"
296|Varlaam|"Boris Godunov"
9551|Dandini|"La cenerentola"
8160|Ein Sklave|"Salome"
8709|Eumelo|"Alceste"
4174|Rolla|"I Masnadieri" alTeatro di San Carlo
2788|Fadinard|"Il cappello di paglia di Firenze"
2481|Dante Alighieri|"La Divina Commedia"
8779|Kostelnička Buryjovka|“Jenůfa”
570|Domestico|"La Traviata"
7843|Il conte Danilo Danilowitsch|"La vedova allegra"
5637|Duncano|"Macbeth"
6489|Desdemona|"Otello" con finalino edificante
7002|Donna Giacinta|"La finta semplice"
6573|Contino del Fiore|"Crispino e la Comare"
909|Lumir|"Šárka", "Cavalleria Rusticana"
2427|Manuel|"La mulata de Córdoba", "La vida breve"
4149|Monostatos|"Die Zauberflote"
8536|Vologeso|"Berenice, regina di Armenia" (Il Vologeso)
5480|Santuzza|"L'Enfant Prodigue" e "Cavalleria Rusticana"
4823|Lo zio Bonzo|"Madama Butterfly"
6431|Venere|"Orfeo all'inferno"
6454|Mary, nutrice di Senta|"Der Fliegende Holländer"
6531|Rigoletto|"Ola" per Rigoletto
3747|La Contessa|"Le nozze di Figaro"
1063|La maga|Maderna e Purcell
9038|Erminio Rossetti|"Il trionfo dell'onore, ovvero dissoluto pentito"
5404|Voce del giovane marinaio|Magia
324|Selimo|"Il Corsaro"
3088|Riccardo|"Maria di Rohan"
5919|Ostasio|"Francesca da Rimini"
4313|Teresa|-
9476|Roland|"Les Chevaliers de la Table Ronde" di Hervé
164|La mendicante|"Death in Venice"
5395|Nicolas, Colins Koch|"L' ecume des Jours" di Edison Denisov
7499|Simon Boccanegra|Leo Nucci è Simon Boccanegra
2311|La Roche|"Capriccio"
9502|Woglinde|“Götterdämmerung”
7314|Simone|"Pagliacci", "Gianni Schicchi"
2381|Il conte</em> <em>di Monterone|"Rigoletto"
2425|Inquisidor|"La mulata de Córdoba", "La vida breve"
4431|Raimbaut|"Robert le diable"
2272|Madame Larina|"Evgenij Onegin"
9599|Il conte di Walter|“Luisa Miller”
