FRANCESCO MILANESE,UN BALLO IN MASCHERA
MARIANO BUCCINO,UN BALLO IN MASCHERA
CARLO CHECCHI,UN BALLO IN MASCHERA
GIUSEPPE DISTEFANO,UN BALLO IN MASCHERA
BRENDEN GUNNELL,IDOMENEO
MONICA BACELLI,IDOMENEO
EKATERINA SADOVNIKOVA,IDOMENEO
MICHAELA KAUNE,IDOMENEO
ANICIO ZORZI GIUSTINIANI,IDOMENEO
KRYSTIAN ADAM,IDOMENEO
MICHAEL LEIBUNDGUT,IDOMENEO
VIII ALEX ESPOSITO,ANNA BOLENA
CARMELA REMIGIO,ANNA BOLENA
SOFIA SOLOVIY,ANNA BOLENA
GABRIELE SAGONA,ANNA BOLENA
MAXIM MIRONOV,ANNA BOLENA
MANUELA CUSTER,ANNA BOLENA
ALESSANDRO VIOLA,ANNA BOLENA
I VIRTUOSI ITALIANI,ANNA BOLENA
DONATA DANNUNZIO LOMBARDI,MADAMA BUTTERFLY
RAFFAELLA LUPINACCI,MADAMA BUTTERFLY
ALIONA STARICOVA,MADAMA BUTTERFLY
VINCENZO COSTANZO,MADAMA BUTTERFLY
DAMIANO SALERNO,MADAMA BUTTERFLY
GREGORY BONFATTI,MADAMA BUTTERFLY
ANDREA PORTA,MADAMA BUTTERFLY
ALESSIO DE VECCHIS,MADAMA BUTTERFLY
DAVIDE FILIPPONI,MADAMA BUTTERFLY
MARGARITA GUGLIELMI,MADAMA BUTTERFLY
GIANFRANCO GRICINELLA,MADAMA BUTTERFLY
SERENA ALLEVI,MADAMA BUTTERFLY
CARLO CITTADINI,MADAMA BUTTERFLY
PAOLO PECCHIOLI,IL MATRIMONIO SEGRETO
PAOLA CIGNA,IL MATRIMONIO SEGRETO
PATRIZIA CIGNA,IL MATRIMONIO SEGRETO
MONICA MINARELLI,IL MATRIMONIO SEGRETO
MICHELE PIERLEONI,IL MATRIMONIO SEGRETO
GIAMPAOLO FRANCONI,IL MATRIMONIO SEGRETO
SILVIA PANTANI,LA TRAVIATA
EMANUELA GRASSI,LA TRAVIATA
SELENE FIASCHI,LA TRAVIATA
ANGELO FIORE,LA TRAVIATA
RA HYUN KYU,LA TRAVIATA
FEDERICO BULLETTI,LA TRAVIATA
ALESSANDRO CALAMAI,LA TRAVIATA
ALESSANDRO MARTINELLO,LA TRAVIATA
VEIO TORCIGLIANI,LA TRAVIATA
FEDERICO BULLETTI,LA TRAVIATA
ANTONIO CANDIA,LA TRAVIATA
ALESSANDRO MARTINELLO,LA TRAVIATA
ANDREA MARMUGI,LA TRAVIATA
IVAN CIGNETTI,LA TRAVIATA
CINZIA FORTE,LA TRAVIATA
