MIRIAM ARTIACO,Praskowia|LA VEDOVA ALLEGRA
GENNARO CANAVACCIUOLO,Njegus|LA VEDOVA ALLEGRA
LUCA SALSI,Rigoletto|RIGOLETTO
LISETTE OROPESA,Gilda|RIGOLETTO
FRANCESCO DEMURO,Il duca di Mantova|RIGOLETTO
ANDREA MASTRONI,Sparafucile|RIGOLETTO
BARBARA DI CASTRI,Maddalena|RIGOLETTO
MARA JOS SUREZ,Giovanna|RIGOLETTO
FERNANDO RAD,Il conte di Monterone|RIGOLETTO
ALEX SANMART,Marullo|RIGOLETTO
GERARDO LPEZ,Matteo Borsa|RIGOLETTO
TOMEU BIBILONI,Il conte di Ceprano|RIGOLETTO
NURIA GARCA ARRS,La contessa di Ceprano|RIGOLETTO
CLAUDIO MALGESINI,Un usciere di corte|RIGOLETTO
MERCEDES ARCURI,Il paggio della duchessa|RIGOLETTO
LADISLAV ELGR,Dionysus|THE BASSARIDS
RUSSELL BRAUN,Pentheus|THE BASSARIDS
DOSS,Cadmus MARK S.|THE BASSARIDS
ERIN CAVES,Tiresias|THE BASSARIDS
ANDREW SCHROEDER,Captain of the Royal Guard|THE BASSARIDS
VERONICA SIMEONI,Agave|THE BASSARIDS
SARA HERSHKOWITZ,Autonoe|THE BASSARIDS
SARA FULGONI,Beroe|THE BASSARIDS
CRUZ,Il duca di Mantova ARTURO CHACN-|RIGOLETTO
AMBROGIO MAESTRI,Rigoletto|RIGOLETTO
CHRISTINA POULITSI,Gilda|RIGOLETTO
GIORGIO GIUSEPPINI,Sparafucile|RIGOLETTO
ANNA MALAVASI,Maddalena|RIGOLETTO
CHIARA FRACASSO,Giovanna|RIGOLETTO
KONSTANTIN GORNY,Il conte di Monterone|RIGOLETTO
ITALO PROFERISCE,Il cavaliere Marullo|RIGOLETTO
LUCA CASALIN,Matteo Borsa|RIGOLETTO
NICOL CERIANI,Il conte di Ceprano|RIGOLETTO
SABRINA TESTA,La contessa di Ceprano|RIGOLETTO
VITO LUCIANO ROBERTI,Un usciere|RIGOLETTO
IRENE FAVRO,Un paggio|RIGOLETTO
MARIA JOS MONTIEL,Carmen|CARMEN
ELEONORA BURATTO,Micala|CARMEN
SANDRA PASTRANA,Frasquita|CARMEN
GIUSEPPINA BRIDELLI,Mercds|CARMEN
BRIAN JAGDE,Don Jos|CARMEN
KOSTAS SMORIGINAS,Escamillo|CARMEN
FABIO PREVIATI,Il Dancare|CARMEN
CARLO BOSI,Il Remendado|CARMEN
GIANFRANCO MONTRESOR,Zuniga|CARMEN
ROBERTO ACCURSO,Morales|CARMEN
CRISTINA MARTUFI,Silvia|ZANETTO
ALESSANDRA MASINI,Zanetto|ZANETTO
CAVALLERIA RUSTICANA,|ZANETTO
YVONNE MANFREDA,Santuzza|ZANETTO
MARIA SALVINI,Lola|ZANETTO
VITALIY KOVALCHUK,Turiddu|ZANETTO
MAMUKA LOMIDZE,Compare Alfio|ZANETTO
CARLOTTA VICHI,Mamma Lucia|ZANETTO
SERSE,|Auditorio Nacional de Msica de Madrid
JOS MARIA LO MONACO,Serse|Auditorio Nacional de Msica de Madrid
HANNA HUSHR,Romilda|Auditorio Nacional de Msica de Madrid
SONIA PRINA,Arsamene|Auditorio Nacional de Msica de Madrid
KERSTIN AVEMO,Atalanta|Auditorio Nacional de Msica de Madrid
IVONNE FUCHS,Amastre|Auditorio Nacional de Msica de Madrid
CHRISTIAN SENN,Elviro|Auditorio Nacional de Msica de Madrid
LUIGI DE DONATO,Ariodate|Auditorio Nacional de Msica de Madrid
VICTOR GARCA SIERRA,Il Re|AIDA
SILVIA BELTRAMI,Amneris|AIDA
CELLIA COSTEA,Aida|AIDA
DARIO DI VIETRI,Radames|AIDA
ABRAMO ROSALEN,Ramfis|AIDA
IVAN INVERARDI,Amonasro|AIDA
NESTOR LOSAN,Un Messaggero|AIDA
SARA ROSSINI,Sacerdotessa|AIDA
MATTHIAS KLINK,Herodes|Dramma musicale in un atto dal poema di Oscar Wilde nella traduzione di Hedwig Lachmann
CLAUDIA MAHNKE,Herodias|Dramma musicale in un atto dal poema di Oscar Wilde nella traduzione di Hedwig Lachmann
SIMONE SCHNEIDER,Salome|Dramma musicale in un atto dal poema di Oscar Wilde nella traduzione di Hedwig Lachmann
GERGELY NMETI,Narraboth|Dramma musicale in un atto dal poema di Oscar Wilde nella traduzione di Hedwig Lachmann
IDUNNU MNCH,Ein Page|Dramma musicale in un atto dal poema di Oscar Wilde nella traduzione di Hedwig Lachmann
ERIC ANDER,Fnf Juden TORSTEN HOFMANN, HEINZ GHRIG, JAN JOS RAMIREZ, DANIEL KLUGE,|Dramma musicale in un atto dal poema di Oscar Wilde nella traduzione di Hedwig Lachmann
