1048|Pylade|"Don Pasquale", "Iphigénie en Tauride"
2921|Un ambasciatore di pace|"Rienzi"
251|Enrichetta di Francia|"I Puritani"
1310|Andonis|"The Greek Passion"
73|Dottor Grenvil|"La Traviata"
3812|Bote|"Penthesilea"
705|Un priore della città|"I Lombardi alla prima crociata"
2559|Due Amanti|Il "Trittico" secondo Michieletto
2838|Il brigadiere Ciappa|“Napoli milionaria”
1833|Lindorf, Coppelius, Dapertutto, Miracle|“Les Contes d’Hoffmann”
2240|Manolito|"La Chulapona"
268|Acciano|"I Lombardi alla prima crociata"
3653|Lord Enrico Asthon|"Lucia di Lammermoor"
2902|Una voce lontana|"Parsifal"
479|Moralès|"Carmen"
2084|Due contadine|"Le nozze di Figaro"
1400|Giovanna Seymour|"Anna Bolena"
4216|Miss Wordsworth|"Albert Herring"
3491|Lo Stregone|"Švanda dudák"
240|Due contadini|Onore e morte nella "Cavalleria rusticana" e nei "Pagliacci" di nuovo insieme
297|Grégorio|"Roméo et Juliette"
2761|Mère Marie de l'incarnation|"Les dialogues des Carmélites"
2352|Admin e Attanasio|Debutta
2667|Francesco di Moor|-
432|Ol’ga|"Evgenij Onegin"
1479|Dolly|"L'Opera da tre soldi"
548|Gennaro|"Lucrezia Borgia"
2669|Seconda apparizione|"Macbeth"
4049|Priest|"The Fairy Queen"
3932|Il commissario|"La traviata"
2896|Collatinus|“The Rape of Lucretia”
4|Il prigioniero|"Il prigioniero", "Il castello del duca Barbablù"
4245|Il marchese di Forlimpopoli|"Mirandolina" di Bohuslav Martinů
3338|Cassandre|Trionfano
3343|Hélénus|Trionfano
3275|Bogdanowitch|"La Vedova allegra"
4235|Un’invalida|“Moses und Aron”
1663|Penelope|-
278|L'Imperatore|"Turandot"
773|La Maestra delle Novizie|"La voix humaine" e "Suor Angelica"
3988|Beroe|"The Bassarids"
294|Capulet|"Roméo et Juliette"
3742|La contessa Olga Sukarev|"Fedora"
1249|Il principe|"Rušalka"
807|Beatrice Russo|"Il postino"
3672|Laca Klemeň|“Jenůfa”
1967|L’inquisitore|"Ognenny Angel" (L'angelo di fuoco)
1538|Dexter, Dex|"Heart of a Soldier"
1994|Součková|"Die glückliche Hand" e "Osud"
2744|Terzo conoscente di Kovalĕv|"Il Naso"
679|Checca|"Il Flaminio" in scena
874|La cugina|"Madama Butterfly"
150|L'impostore (Grigorij)|"Boris Godunov"
4087|Schlémil|"Les contes d'Hoffmann"
1759|L'ombra di Nino|-
96|Micaela|"Carmen"
4061|Mélusine|"Les Chevaliers de la Table Ronde" di Hervé
1973|Secondo cliente|"Ognenny Angel" (L'angelo di fuoco)
3153|Giudice|"Un ballo in maschera"
1329|Bellezza|"Il trionfo del tempo e del disinganno"
2633|Nabucco, re di Babilonia|"Nabucco"
2088|Le Comte Ory|"Le comte Ory"
1543|Lolita, Prima damigella della sposa|"Heart of a Soldier"
2356|Il Tempo|Debutta
2609|Die Maus|"L' ecume des Jours" di Edison Denisov
2198|Sancho|"Don Quichotte"
1077|Beatrice Carbone|"Uno sguardo dal ponte"
181|Seid|"Il Corsaro"
1865|Senor I|"Candide"
105|Flora Tosca|"Tosca"
1047|Iphigénie|"Iphigénie en Aulide" di Gluck
1123|Goffredo|"Rinaldo"
