ANDREA SEVERI;IL CAPPELLO DI PAGLIA DI FIRENZE;3
ANDREA HILL;LULU;1
SANDRO PUCCI;CARMEN;1
JENKINS;LE NOZZE DI FIGARO (The Marriage of Figaro);1
LUCILLE BEER;DAS RHEINGOLD (Loro del Reno);2
DOLORA ZAJICK;UN BALLO IN MASCHERA;1
NICOLA PAMIO;DON QUICHOTTE;1
DEYAN VATCHKOV;ROMO ET JULIETTE;3
GERGELY NMETI;COS FAN TUTTE;1
ANDREA PATUCELLI;DIE ZAUBERFLTE (Il flauto magico);3
MATTEO FERRARA;CARMEN;1
LUCA TITTOTO;IL TROVATORE;1
CARLOS NATALE;IL RATTO DAL SERRAGLIO;1
VALERIA GIRARDELLO;APOLLO ET HYACINTHUS;1
CHRISTIAN FARAVELLI;NABUCCO;1
ANJA KAMPE;DER FLIEGENDE HOLLNDER;1
ZIYAN AFTEH;LA FORZA DEL DESTINO;1
CLAUDIO MALGESINI;RIGOLETTO;1
ENCARNACION VASQUEZ;LE NOZZE DI FIGARO;1
ANDREAS WOLF;COSI FAN TUTTE,ossia la scuola delle amanti (K588);1
SERSE;Auditorio Nacional de Msica de Madrid;1
FRANCESCA ROTONDO;LA TRAVIATA;4
GAYNOR KEEBLE;LA TRAVIATA;1
INA KRINGELBORN;DER FREISCHUTZ (Il franco cacciatore);1
VITALIY BILYY;LA TRAVIATA;1
GABRIELE LOMBARDI;LA TRAVIATA;1
FRANCESCO MELI;ERNANI;2
DANIEL KALETA;CHOVANINA;1
JUAN DIEGO FLREZ;MATILDE DI SHABRAN;1
SIMON ONEILL;DIE WALKRE;1
EDUARDO VALDES;OTELLO;1
ELISABETTA MARTORANA;RKA;1
ROMAN ASTAKHOV;RIENZI, LUltimo dei Tribuni;1
MARIA DE LOURDES MARTINS;GOYESCAS;1
ROBERTO ABBONDANZA;LAMOUR DES TROIS ORANGES (Lamore delle tre melarance);2
LARISSA ALICE WISSEL;LES CONTES DHOFFMANN;1
MARIA ZIFCHAK;ORFEO ED EURIDICE;1
ANGELO NARDINOCCHI;LA GIOCONDA;2
PIETRO SPAGNOLI;LOPERA SERIA;1
